Moves,Played,WhiteWins,Draws,BlackWins,AvgElo
a2a3 e7e5 c2c4 f7f5 b1c3 g8f6 g2g3 c7c6 g1f3 e5e4 f3d4 d7d5 c4d5 c6d5 d2d3 f8c5 d3e4 d5e4 d4b3 d8d1 c3d1 c5b6 c1e3 c8e6,2,0,2,0,2653.5
a2a3 e7e5 c2c4 g7g6 b2b4 f8g7 c1b2 d7d6 g2g3 f7f5 f1g2 g8f6 d2d3 e8g8 g1f3 h7h6 e1g1 c8e6 f3h4 g6g5 g2b7 b8d7 b7a8 d8a8,2,2,0,0,2655.0
a2a3 e7e5 c2c4 g7g6 d2d3 f8g7 g2g3 c7c6 b2b3 d7d5 c1b2 g8e7 g1f3 b8d7 f1g2 e8g8 f3d2 f7f5 e1g1 e5e4 b2g7 g8g7 c4d5 c6d5,2,2,0,0,2751.5
a2a3 e7e5 c2c4 g8f6 d2d3 a7a5 g1f3 b8c6 b2b3 d7d5 c4d5 f6d5 c1b2 f7f6 g2g3 c8e6 f1g2 d8d7 b1d2 f8e7 e1g1 e8g8 a1c1 f8d8,2,0,2,0,2660.5
a2a3 e7e5 c2c4 g8f6 d2d3 b8c6 g1f3 g7g6 b2b4 f8g7 c1b2 d7d6 e2e3 e8g8 f1e2 e5e4 d3e4 f6e4 d1c1 a7a5 b2g7 g8g7 b1c3 e4c3,1,0,0,1,2705.0
a2a3 e7e5 c2c4 g8f6 d2d3 c7c6 g1f3 f8d6 c1g5 h7h6 g5h4 d6c7 b1c3 d7d6 e2e3 e8g8 f1e2 f8e8 e1g1 b8d7 f3d2 d7f8 b2b4 f8g6,2,2,0,0,2656.5
a2a3 e7e5 c2c4 g8f6 d2d3 c7c6 g1f3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 d7d6 f1e2 c8e6 b1c3 b8d7 d3d4 a7a6 a1c1 f8e8 e1g1 e6g4,2,2,0,0,2813.5
a2a3 e7e5 c2c4 g8f6 d2d3 c7c6 g1f3 h7h6 b1c3 f8d6 g2g4 f6g4 h1g1 f7f5 h2h3 g4f2 e1f2 g7g5 e2e4 d8f6 b2b4 d6c7 d3d4 d7d6,2,2,0,0,2697.5
a2a3 e7e5 c2c4 g8f6 d2d3 d7d5 c4d5 f6d5 g1f3 b8c6 g2g3 g7g6 b1c3 d5e7 c1d2 f8g7 d1c1 h7h6 h2h4 c8g4 f3h2 g4e6 e2e3 c6a5,2,0,0,2,2699.0
a2a3 e7e5 c2c4 g8f6 d2d3 d7d5 c4d5 f6d5 g1f3 f8d6 e2e3 c7c5 f1e2 b8c6 e1g1 e8g8 b2b3 a7a5 c1b2 f8e8 d1c2 c8e6 b1c3 d5c3,2,2,0,0,2706.5
a2a3 e7e5 c2c4 g8f6 d2d3 g7g6 g1f3 d7d6 g2g3 f8g7 f1g2 e8g8 b1c3 a7a5 e1g1 c7c6 a1b1 f8e8 b2b4 a5b4 a3b4 d6d5 c4d5 c6d5,2,0,2,0,2656.5
a2a3 e7e5 c2c4 g8f6 e2e3 b8c6 b1c3 g7g6 b2b4 f8g7 c1b2 e8g8 g2g4 d7d5 g4g5 f6e4 c4d5 e4c3 d2c3 c6e7 c3c4 e7f5 h2h4 a7a5,2,2,0,0,2703.0
a2a3 e7e5 e2e3 d7d5 d2d4 f8d6 d4e5 d6e5 g1f3 e5f6 f1d3 g8e7 e1g1 e8g8 b1d2 b8c6 e3e4 c8g4 h2h3 g4h5 f1e1 f6d4 c2c3 d4b6,2,2,0,0,2769.5
